series_id,date,value
A85002072C,1994-11-15,678.9
A85002072C,1995-05-15,689.4
A85002072C,1995-11-15,732.5
A85002072C,1996-05-15,775.4
A85002072C,1996-11-15,761.1
A85002072C,1997-05-15,794.3
A85002072C,1997-11-15,799.4
A85002072C,1998-05-15,879.0
A85002072C,1998-11-15,863.3
A85002072C,1999-05-15,875.8
A85002072C,1999-11-15,891.7
A85002072C,2000-05-15,898.3
A85002072C,2000-11-15,925.4
A85002072C,2001-05-15,939.1
A85002072C,2001-11-15,977.7
A85002072C,2002-05-15,1028.7
A85002072C,2002-11-15,981.3
A85002072C,2003-05-15,1061.2
A85002072C,2003-11-15,1061.0
A85002072C,2004-05-15,1100.5
A85002072C,2004-11-15,1098.0
A85002072C,2005-05-15,1143.0
A85002072C,2005-11-15,1188.2
A85002072C,2006-05-15,1255.6
A85002072C,2006-11-15,1321.1
A85002072C,2007-05-15,1339.9
A85002072C,2007-11-15,1414.2
A85002072C,2008-05-15,1462.9
A85002072C,2008-11-15,1475.8
A85002072C,2009-05-15,1527.5
A85002072C,2009-11-15,1563.6
A85002072C,2010-05-15,1587.3
A85002072C,2010-11-15,1673.4
A85002072C,2011-05-15,1722.5
A85002072C,2011-11-15,1775.1
A85002072C,2012-05-15,1835.5
A85002072C,2012-11-15,1901.8
A85002072C,2013-05-15,1944.0
A85002072C,2013-11-15,1998.3
A85002072C,2014-05-15,1970.2
A85002072C,2014-11-15,2014.3
A85002072C,2015-05-15,2092.0
A85002072C,2015-11-15,2132.9
A85002072C,2016-05-15,2162.6
A85002072C,2016-11-15,2133.1
A85002072C,2017-05-15,2171.6
A85002072C,2017-11-15,2210.0
A84999997V,1994-11-15,510.6
A84999997V,1995-05-15,525.5
A84999997V,1995-11-15,530.7
A84999997V,1996-05-15,537.4
A84999997V,1996-11-15,533.2
A84999997V,1997-05-15,551.2
A84999997V,1997-11-15,556.6
A84999997V,1998-05-15,568.1
A84999997V,1998-11-15,597.6
A84999997V,1999-05-15,605.0
A84999997V,1999-11-15,616.5
A84999997V,2000-05-15,625.9
A84999997V,2000-11-15,629.3
A84999997V,2001-05-15,634.5
A84999997V,2001-11-15,647.3
A84999997V,2002-05-15,656.7
A84999997V,2002-11-15,702.2
A84999997V,2003-05-15,738.8
A84999997V,2003-11-15,743.3
A84999997V,2004-05-15,761.5
A84999997V,2004-11-15,783.8
A84999997V,2005-05-15,798.5
A84999997V,2005-11-15,806.6
A84999997V,2006-05-15,813.6
A84999997V,2006-11-15,850.3
A84999997V,2007-05-15,872.1
A84999997V,2007-11-15,922.1
A84999997V,2008-05-15,933.8
A84999997V,2008-11-15,963.8
A84999997V,2009-05-15,967.6
A84999997V,2009-11-15,961.4
A84999997V,2010-05-15,989.3
A84999997V,2010-11-15,1002.4
A84999997V,2011-05-15,991.6
A84999997V,2011-11-15,1002.0
A84999997V,2012-05-15,997.8
A84999997V,2012-11-15,1041.3
A84999997V,2013-05-15,1086.9
A84999997V,2013-11-15,1109.4
A84999997V,2014-05-15,1110.2
A84999997V,2014-11-15,1118.4
A84999997V,2015-05-15,1134.8
A84999997V,2015-11-15,1139.6
A84999997V,2016-05-15,1189.5
A84999997V,2016-11-15,1214.2
A84999997V,2017-05-15,1214.1
A84999997V,2017-11-15,1221.6
A84977842T,1994-11-15,566.5
A84977842T,1995-05-15,571.8
A84977842T,1995-11-15,599.3
A84977842T,1996-05-15,599.3
A84977842T,1996-11-15,632.1
A84977842T,1997-05-15,639.4
A84977842T,1997-11-15,650.5
A84977842T,1998-05-15,692.0
A84977842T,1998-11-15,697.6
A84977842T,1999-05-15,706.9
A84977842T,1999-11-15,720.7
A84977842T,2000-05-15,722.1
A84977842T,2000-11-15,763.8
A84977842T,2001-05-15,778.1
A84977842T,2001-11-15,828.0
A84977842T,2002-05-15,846.9
A84977842T,2002-11-15,836.5
A84977842T,2003-05-15,880.6
A84977842T,2003-11-15,896.5
A84977842T,2004-05-15,910.4
A84977842T,2004-11-15,922.6
A84977842T,2005-05-15,951.3
A84977842T,2005-11-15,977.2
A84977842T,2006-05-15,981.9
A84977842T,2006-11-15,997.2
A84977842T,2007-05-15,1030.1
A84977842T,2007-11-15,1040.5
A84977842T,2008-05-15,1066.9
A84977842T,2008-11-15,1111.5
A84977842T,2009-05-15,1148.3
A84977842T,2009-11-15,1193.5
A84977842T,2010-05-15,1228.7
A84977842T,2010-11-15,1266.7
A84977842T,2011-05-15,1308.8
